S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
753,Pai Thai,Thai,4.5,2928,"
Arrive by abra and take your seat overlooking Madinat Jumeirah's serene waterways - the perfect accompaniment to Pai Thai's gourmet cuisine. The lavishly decorated terrace and traditional culinary sensations culminate in a quintessential Thai experience, where it is all too easy to let your mind wander to the River of Kings. Less
",http://jumeirah.com,"
Al Qasr ","
Al Sufouh ","
+97143666730 ",Madinat Jumeirah,https://www.theentertainerme.com/outlets/pai-thai/detail?o=56&m=19
754,Palace Al Sham Restaurant & Cafe,,0,0,,,"
Rasis Business Centre, Beside MH Al Shaya, Al Barsha 1 ","
","
+971 4 222 3026 ",Al Barsha,https://www.theentertainerme.com/outlets/palace-al-sham-restaurant-cafe/detail?o=94234&m=53892
755,Palm Avenue,International,0,0,"
A poolside oasis located in the heart of the hotel's elegant grounds, Palm Avenue offers guests a chic yet relaxed atmosphere and casual cuisine reflective of the Mediterranean coast. Enjoy an elegant selection of light fare and a variety of refreshing cocktails or partake in a traditional or Parisian shisha whilst taking in the incredible views of the Palm Jumeirah and Dubai skyline. Opening Hours: 10:00am - 6:00pm Less
",,"
Crescent Road ","
","
+971 4 818 2222 ",Waldorf Astoria Dubai Palm Jumeirah,https://www.theentertainerme.com/outlets/palm-avenue/detail?o=74969&m=43121
756,Palm Garden,International,4,2895,"
If you are looking for an all-day dining restaurant that serves International cuisine, look no further. Dine in a casual yet chic environment, where the palm theme is echoed in the furnishings and mirrored by views of the landscaped gardens surrounding the outdoor terrace. Less
",http://[email protected],"
Ground Level ","
Jumeirah Beach Residence ","
+971 4 315 3838 ",Sheraton Jumeirah Beach Resort,https://www.theentertainerme.com/outlets/palm-garden/detail?o=49565&m=28638
757,Pancheros Mexican Grill,Mexican,0,0,"
Nachos, beef tacos, tortillas and burritos - Mexican cuisine with a delivery! You do not have to go to Mexico. We will get you Mexican dishes to the address you want. Tasty, fresh and with high-quality ingredients. You can choose the main Mexican dish or an appetiser like guacamole. We also have desserts like chocolate cake. Check our menu and order. Pancheros Mexican Grill serves a lot of delicious Mexican and Latin American grill food. Less
",,"
Delivery only: MAG 214 Tower ","
","
+971 58 588 9319 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/pancheros-mexican-grill/detail?o=87401&m=50186
758,Pane Mio,Italian,0,0,"
With a combination of the words “pane” (bread in Italian) and “mio” (means mine), the name Pane Mio was created to portray the concept of ""my flatbreads"". Pane Mio brings the concept of making your own flatbreads with different sauces and toppings that gives a taste of Italian flavours. Less
",http://www.coppasta.ae,"
Sheikh Mohammed Bin Rashid Boulevard ","
Downtown Dubai ","
+971 4 554 3721 ",Downtown Dubai,https://www.theentertainerme.com/outlets/pane-mio/detail?o=87030&m=50104
759,Panini,Desserts,4.5,257,"
Surrounded by tropical indoor gardens and tranquil waterfalls, this classic delicatessen offers a selection of speciality coffee, detox cleansers, home-made bread, sandwiches, pastries and gelato. Famous for their signature strawberry cheesecake, Panini features an impressive selection of gourmet treats such as chocolate truffles, Italian olive oil, premium chocolate spreads, festive delights and more. Less
",https://www.hyattrestaurants.com/en/dining/uae/dubai/bakery-cafe-in-oud-metha-panini,"
Lower Atrium ","
Zaabeel ","
+971 4 317 2221 ",Grand Hyatt Dubai,https://www.theentertainerme.com/outlets/panini/detail?o=3171&m=2008
760,Papa John's Pizza - Dubai,Pizza,3,5,"
Better ingredients, better pizza! After 30 years, it is still about making better quality pizza. Papa John’s has realised tremendous growth over the past 30 years but the success of the brand has always been rooted in the principles established in 1984 - using better ingredients to make a better pizza. Today, Papa John’s remains focused on making superior quality pizza along with a variety of other menu items such as cheese sticks, chicken wings, salads and pasta. Less
",http://www.papajohns.ae,"
1st Level, Food Court ","
Al Barsha ","
+971 4 261 1837 ",Al Barsha Mall,https://www.theentertainerme.com/outlets/papa-john-s-pizza-dubai/detail?o=12056&m=6905
761,Papa Kebab,,0,0,,,"
Delivery only: Food Central ","
","
+971 2 671 0355 ",City Centre Deira,https://www.theentertainerme.com/outlets/papa-kebab/detail?o=91832&m=52695
762,Papa Murphy's,,0,0,"
Papa Murphy’s Pizza is the 5th largest pizza company in the United States. Whether made to order or off the menu, every Papa Murphy's pizza is built to perfection. From the daily-made fresh dough and the freshly sliced veggies to the 100% whole-milk mozzarella and the premium quality toppings, unforgettable taste is always guaranteed! You can either bake it at home and serve it hot from your oven or let them bake and deliver to your doorstep. Call Centre Number: 600 540 440 Less
",http://papamurphysme.com,"
Lulu Hypermarket, Ground Level ","
Al Barsha ","
600 540 440 ",Al Barsha,https://www.theentertainerme.com/outlets/papa-murphy-s/detail?o=14674&m=8470
763,Para Art,,0,0,"
Para Art is the first shisha delivery company in Dubai. We offer premium hookah rentals in Dubai by delivering pre-made hookah sets that are ready to smoke. Every hookah rental comes with everything you need to start smoking hookah right away! We deliver hookah with a minimum of 24-hour rental period and we will pick it up at a time convenient for you. Less
",http://para-art.com,"
8th Level, Office 806, Binary Tower ","
Business Bay ","
+971 529284260 ",Business Bay,https://www.theentertainerme.com/outlets/para-art/detail?o=91345&m=52474
764,Park Cafe and Grill,International,0,0,"
Park Café and Grill, an all-day dining venue, has been designed with the world traveller in mind. With a menu full of International favourites, from Far East fusion to Continental grills and mouth-watering desserts that are freshly prepared, this is the venue for business breakfasts, power lunches or late-night suppers. It also serves breakfast, lunch and dinner buffet. Less
",http://www.arabianparkhotel.com,"
Ground Level ","
Al Jaddaf ","
+971 4 324 5999 ",Arabian Park Hotel,https://www.theentertainerme.com/outlets/park-cafe-and-grill/detail?o=25382&m=15631
765,Pascal Tepper SZR,French,0,0,"
Pascal Tepper French Bakery is an international chain of dine-in cafés that brings a contemporary take on the traditional French dine-in bakery with oven-fresh bread, Viennoiserie, quality hot and cold dishes as well as a range of chocolates and dessert pastries.
Opening Hours: 24/7 Less
",http://www.pascaltepperszr.com,"
Ground Level ","
Sheikh Zayed Road ","
+971 56 414 2213 ",Four Points by Sheraton Sheikh Zayed Road,https://www.theentertainerme.com/outlets/pascal-tepper-szr/detail?o=89829&m=51761
766,Pasta 2go,,0,0,"
Located in Cluster D, JLT, Pasta 2 Go is your way of indulging in this Italian speciality - on the move. Merging pasta delivery with the familiar delivery style of boxed Chinese food, Pasta 2 Go promises uncompromising quality, flavour and exceptional delivery. Less
",,"
Lake Terrace Tower, Cluster D ","
","
+971 4 526 0430 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/pasta-2go/detail?o=81602&m=47204
767,Patiala,Indian,4.5,330,"
Patiala, the only authentic Indian fine dining restaurant located in Souk Al Bahar, Downtown Dubai, fuses authentic Indian flavours with contemporary interiors in an unparalleled urban setting. The fully licensed restaurant has flown in its team of chefs direct from Delhi and the result is signature dishes and authentic recipes that are rarely tasted outside of India in an environment designed to appeal to Dubai’s discerning diners. Patiala offers the main dining room, a private dining room and the Patiala lounge where you can watch live sports. Less
",http://www.patiala.ae,"
3rd Level ","
Downtown Dubai ","
+971 4 451 9151 ",Souk Al Bahar,https://www.theentertainerme.com/outlets/patiala/detail?o=756&m=496
768,Patiala House,,0,0,"
This classy Punjabi dhaba brings to you the taste of true flavours and spices from Punjab serving some of its very special delicacies such as Amritsari fish tikka, keema pav, chicken methi garlic, Patiala chicken, veg Punjabi kofta, mutton chop masala, dal tadka, junglee chicken and many more mouth-watering dishes - a taste of homely cooked Punjabi food. Less
",http://www.patialahouse.ae,"
Shop No. 3, Glitz 1 by Danube ","
Dubai Studio City ","
+971 4 333 5035 ",Dubai Studio City,https://www.theentertainerme.com/outlets/patiala-house/detail?o=88141&m=49758
769,Pause - Sandwiches and Coffee,Cafe,0,0,"
Pause offers ""strong and fresh"" coffee and a wide-range of drool-worthy ""loaded and grilled"" sandwiches. Our sandwiches are filled with gourmet ingredients, dressed for a rich flavour and grilled to perfection. They complement our locally roasted coffee made from 100% Arabica beans that are ground fresh to deliver a rich taste. Less
",,"
Ground Level, Murooj Complex, Opposite The Dubai Mall ","
","
+971 56 319 5053 ",Roda Al Murooj,https://www.theentertainerme.com/outlets/pause-sandwiches-and-coffee/detail?o=87758&m=50444
770,Pavilion Sports Lounge,International,0,0,,,"
Level G, Wyndham  ","
","
+971 4 525 5000 ",Wyndham Dubai Deira,https://www.theentertainerme.com/outlets/pavilion-sports-lounge/detail?o=92513&m=53110
771,Peacock Alley,Baked Goods,5,24,"
The term ""Peacock Alley"" was coined to portray the daily promenade of notables through the original colonnade between The Waldorf and The Astoria hotels. A piece of New York has now been brought to the emirate as the Waldorf Astoria Dubai Palm Jumeirah has its very own Peacock Alley, serving the finest afternoon tea, beverages and small plates both indoor and on the Peacock Alley terrace. Try the Waldorf Astoria signature tea blend or create a custom blend in the tea mixing room for a truly bespoke experience. Less
",http://waldorfastoria.com/dubai,"
Ground Level ","
The Palm Jumeirah ","
+971 4 818 2222 ",Waldorf Astoria Dubai Palm Jumeirah,https://www.theentertainerme.com/outlets/peacock-alley/detail?o=8191&m=4485
772,Pepper and Pine,International,0,0,"
Pepper & Pine offers creative salads, wraps and bowls combinations, using fresh high-quality ingredients and boldly flavoured dressings. We are here to ignite your love for clean eating with portions that are large enough to be a meal. We serve you real food with real ingredients, making your meal real good and healthy. Less
",,"
G02 Bayswater Building, Al Asayel Street ","
","
+971 4 350 2018 ",Business Bay,https://www.theentertainerme.com/outlets/pepper-and-pine/detail?o=71641&m=41213
773,Peppermill - Dubai,Indian,4,42,"
A chef-driven Indian casual dining concept, Peppermill offers inventive Indian cuisine with flavours that placate your palate and senses. We challenge the notion that Indian cuisine can only be created using age old recipes and ideas. We believe that food, like people, should constantly evolve with time. Our team seeks to improvise traditional Indian cuisine and strives to create a carefully curated menu. Indian cooking techniques, combined with a colonial design template, produces distinctive layers of flavours that make Peppermill the favourite Indian cuisine of the masses. Less
",http://www.peppermill.ae,"
1st Level, Waterfront ","
Ras Al Khor ","
+971 4 288 1587 ",Dubai Festival City,https://www.theentertainerme.com/outlets/peppermill-dubai/detail?o=1612&m=1034
774,Perfetto Acai,,0,0,,,"
 Shop 04/05, Ground Level, HDS Tower, Cluster F ","
","
+971 58 124 4598 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/perfetto-acai/detail?o=90047&m=51854
775,Perfetto Pizzeria,,0,0,"
Perfetto Pizzeria means “the perfect pizza”. This Italian pizza restaurant is a perfect blend of Arabian and American cuisines. We make sure that every guest is welcomed to feel at home. Less
",,"
HDS Tower, Shop 04/05, Ground Level, Cluster F ","
","
+971 04 276 6184 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/perfetto-pizzeria/detail?o=90048&m=51859
776,Perfetto Salad,,0,0,,,"
HDS Tower, Shop 04/05, Ground Level, Cluster F ","
","
+971 58 124 4598 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/perfetto-salad/detail?o=90049&m=51858
